year,fertilizer_code,dry_matter,actual_yield,temperature,precipitation,solar_radiation,predicted_yield
2005,N1(P)KMg,28.7,9.88,286.6071934918173,388.6443942040205,15810205.49019608,9.7584095
2005,N2(P)KMg,28.9,13.17,286.6071934918173,388.6443942040205,15810205.49019608,12.074488
2005,N3(P)KMg,30.2,14.85,286.6071934918173,388.6443942040205,15810205.49019608,14.868991
2005,N4(P)KMg,26.5,12.2,286.6071934918173,388.6443942040205,15810205.49019608,11.827425
2005,N4,26.3,4.06,286.6071934918173,388.6443942040205,15810205.49019608,4.214889
2005,N4PMg,34.0,11.51,286.6071934918173,388.6443942040205,15810205.49019608,11.6678
2005,N1+3+1(P)K2Mg2,32.1,16.17,286.6071934918173,388.6443942040205,15810205.49019608,17.011152
2005,N4PK,29.1,13.71,286.6071934918173,388.6443942040205,15810205.49019608,13.760159
2005,N4PK*(Mg*),33.7,17.68,286.6071934918173,388.6443942040205,15810205.49019608,17.380882
2005,N5(P)KMg,30.4,14.18,286.6071934918173,388.6443942040205,15810205.49019608,14.214274
2005,N6(P)KMg,30.4,15.01,286.6071934918173,388.6443942040205,15810205.49019608,15.00377
2005,N1+4+1 PKMg,31.6,14.61,286.6071934918173,388.6443942040205,15810205.49019608,15.490266
2005,N1+2+1 PKMg,32.7,15.69,286.6071934918173,388.6443942040205,15810205.49019608,15.814289
2005,N1+1+1 KMg,26.7,7.9,286.6071934918173,388.6443942040205,15810205.49019608,7.982637
2006,(FYM) N4 ,36.1,13.03,287.35079577078227,399.161365498323,16344512.006535947,13.1264305
2006,FYM N3,37.1,17.14,287.35079577078227,399.161365498323,16344512.006535947,17.069132
2006,FYM,35.6,11.8,287.35079577078227,399.161365498323,16344512.006535947,10.92488
2006,Nil,34.1,4.25,287.35079577078227,399.161365498323,16344512.006535947,4.227895
2006,(P)KMg,29.7,2.36,287.35079577078227,399.161365498323,16344512.006535947,5.1486087
2006,N1(P)KMg,37.1,6.55,287.35079577078227,399.161365498323,16344512.006535947,6.5647774
2006,N2(P)KMg,37.7,9.98,287.35079577078227,399.161365498323,16344512.006535947,10.10896
2006,N3(P)KMg,38.0,11.23,287.35079577078227,399.161365498323,16344512.006535947,11.103032
2006,N4(P)KMg,37.8,10.92,287.35079577078227,399.161365498323,16344512.006535947,10.95595
2006,N4,35.5,3.9,287.35079577078227,399.161365498323,16344512.006535947,4.0048585
2006,N4PMg,39.0,3.1,287.35079577078227,399.161365498323,16344512.006535947,3.1105597
2006,N1+3+1(P)KMg,39.8,7.33,287.35079577078227,399.161365498323,16344512.006535947,9.006714
2006,N4PK,35.1,7.69,287.35079577078227,399.161365498323,16344512.006535947,7.7784414
2006,N4PK*(Mg*),38.5,7.6,287.35079577078227,399.161365498323,16344512.006535947,7.695964
2006,N5(P)KMg,31.9,8.23,287.35079577078227,399.161365498323,16344512.006535947,8.244496
2006,N6(P)KMg,35.6,9.74,287.35079577078227,399.161365498323,16344512.006535947,9.514086
2006,N1+4+1 PKMg,35.5,9.27,287.35079577078227,399.161365498323,16344512.006535947,9.0933695
2006,N1+2+1 PKMg,36.2,10.52,287.35079577078227,399.161365498323,16344512.006535947,10.627225
2006,N1+1+1 KMg,33.8,7.75,287.35079577078227,399.161365498323,16344512.006535947,7.6562643
2008,(FYM) N4 ,28.5,13.6,286.6130091847937,2371185242.5,15497942.761437908,13.686932
2008,FYM N3,29.1,16.56,286.6130091847937,2371185242.5,15497942.761437908,16.484386
2008,FYM,28.0,11.71,286.6130091847937,2371185242.5,15497942.761437908,9.969778
2008,Nil,22.6,3.03,286.6130091847937,2371185242.5,15497942.761437908,2.9846532
2008,(P)KMg,24.7,3.98,286.6130091847937,2371185242.5,15497942.761437908,5.26214
2008,N1(P)KMg,24.6,6.1,286.6130091847937,2371185242.5,15497942.761437908,6.033101
2008,N2(P)KMg,27.6,8.93,286.6130091847937,2371185242.5,15497942.761437908,8.974028
2008,N3(P)KMg,24.4,9.28,286.6130091847937,2371185242.5,15497942.761437908,9.407905
2008,N4(P)KMg,23.9,9.99,286.6130091847937,2371185242.5,15497942.761437908,9.899915
2008,N4,19.8,2.31,286.6130091847937,2371185242.5,15497942.761437908,0.5580312
2008,N4PMg,23.4,5.64,286.6130091847937,2371185242.5,15497942.761437908,5.643187
2008,N1+3+1(P)KMg,26.9,10.07,286.6130091847937,2371185242.5,15497942.761437908,10.070865
2008,N4PK,24.2,8.87,286.6130091847937,2371185242.5,15497942.761437908,8.97907
2008,N4PK*(Mg*),25.7,9.66,286.6130091847937,2371185242.5,15497942.761437908,9.718987
2008,N5(P)KMg,24.5,9.84,286.6130091847937,2371185242.5,15497942.761437908,9.832102
2008,N6(P)KMg,24.5,9.57,286.6130091847937,2371185242.5,15497942.761437908,9.579475
2008,N1+4+1 PKMg,23.9,9.05,286.6130091847937,2371185242.5,15497942.761437908,9.185691
2008,N1+2+1 PKMg,24.2,9.5,286.6130091847937,2371185242.5,15497942.761437908,9.552556
2008,N1+1+1 KMg,23.0,5.86,286.6130091847937,2371185242.5,15497942.761437908,5.8684087
2009,(FYM) N4 ,22.4,11.81,286.65361451791,447.14112894050777,15957279.029411765,11.791694
2009,FYM N3,23.0,13.84,286.65361451791,447.14112894050777,15957279.029411765,13.792148
2009,FYM,22.3,12.37,286.65361451791,447.14112894050777,15957279.029411765,10.566127
2009,Nil,19.8,0.58,286.65361451791,447.14112894050777,15957279.029411765,0.75480545
2009,(P)KMg,21.9,5.2,286.65361451791,447.14112894050777,15957279.029411765,5.162795
2009,N1(P)KMg,22.1,7.12,286.65361451791,447.14112894050777,15957279.029411765,7.063925
